FPOI BLOCk,LAT,LONG
KUNNUMMAL,11.62036,75.70722
MELDAY,11.49592,75.62711
MELDAY,11.51157,75.62208
MELDAY,11.52639,75.65611
MELDAY,11.53222,75.71305
PANTHALAYANI,11.39810,75.72518
PANTHALAYANI,11.42088,75.71211
PANTHALAYANI,11.47098,75.64931
PANTHALAYANI,11.48693,75.71514
PANTHALAYANI,11.39770,75.76266
PERAMBRA,11.58739,75.76552
PERAMBRA,11.55906,75.75523
PERAMBRA,11.56391,75.71021
PERAMBRA,11.53735,75.77045
THODANNUR,11.55213,75.64146
THODANNUR,11.58669,75.67433
THODANNUR,11.62579,75.62813
THUNERI,11.66075,75.61442
THUNERI,11.71819,75.69843
THUNERI,11.72880,75.67391
THUNERI,11.72616,75.63573
THUNERI,11.70721,75.63446
THUNERI,11.67413,75.63330
VADAKARA,11.62429,75.57822
VADAKARA,11.64901,75.56432
VADAKARA,11.65341,75.60259
VADAKARA,11.68652,75.54400
AREAKODE,11.23196,76.05367
AREAKODE,11.21602,76.00365
AREAKODE,11.21626,76.14128
AREAKODE,11.19668,76.06388
AREAKODE,11.25012,76.02282
AREAKODE,11.17775,76.00238
AREAKODE,11.15822,76.06046
AREAKODE,11.24806,76.05053
KALIKAVU,11.24429,76.30436
KALIKAVU,11.22129,76.33374
KALIKAVU,11.07500,76.28130
KALIKAVU,11.16892,76.31968
KALIKAVU,11.28745,76.29624
KALIKAVU,11.11942,76.33596
KALIKAVU,11.11197,76.28370
KONDOTTY,11.17364,75.91762
KONDOTTY,11.15210,75.95867
KONDOTTY,11.18991,75.96725
KONDOTTY,11.14245,75.97062
KONDOTTY,11.16906,75.92687
KONDOTTY,11.24786,75.94901
KUTTIPPURAM,10.90447,76.09793
KUTTIPPURAM,10.87879,76.10117
KUTTIPPURAM,10.93471,75.99635
KUTTIPPURAM,10.84640,76.03554
KUTTIPPURAM,10.94155,76.04190
KUTTIPPURAM,10.89062,76.07004
MALAPPURAM,11.08692,76.12160
MALAPPURAM,11.02285,76.06818
MALAPPURAM,11.13386,76.01503
MALAPPURAM,11.02591,76.02869
MALAPPURAM,10.99892,76.05711
MALAPPURAM,11.10028,76.06278
MANKADA,11.06104,76.12569
MANKADA,10.98537,76.10853
MANKADA,11.03696,76.16074
MANKADA,10.92366,76.12890
MANKADA,10.97742,76.15704
MANKADA,11.02146,76.11942
NILAMBUR,11.31171,76.20845
NILAMBUR,11.33473,76.27581
NILAMBUR,11.35898,76.30693
NILAMBUR,11.32626,76.33222
NILAMBUR,11.40253,76.25309
NILAMBUR,11.37649,76.33717
PERINTHALMANNA,10.93323,76.28060
PERINTHALMANNA,10.97788,76.20449
PERINTHALMANNA,10.91187,76.22491
PERINTHALMANNA,11.05339,76.28102
PERINTHALMANNA,10.90175,76.19556
PERINTHALMANNA,10.95376,76.32110
PERINTHALMANNA,11.01930,76.28375
PERUMPADAPPU,10.73787,76.02896
PERUMPADAPPU,10.74031,75.97298
PERUMPADAPPU,10.71776,76.01959
PERUMPADAPPU,10.70199,75.98261
PERUMPADAPPU,10.72122,75.97665
PONNANI,10.78547,76.00436
PONNANI,10.82783,75.99415
PONNANI,10.83662,75.99297
PONNANI,10.78569,76.02469
TANUR,10.95342,75.94628
TANUR,10.98151,75.90471
TANUR,10.94534,75.94107
TANUR,10.95140,75.91322
TANUR,10.94001,75.97549
TANUR,10.98223,75.87536
TIRUR,10.84882,75.92208
TIRUR,10.88306,75.93137
TIRUR,10.84941,75.94177
TIRUR,10.88654,75.89522
TIRURANGADI,11.08015,75.90232
