GP,LAT,LONG
NACHIBON,27.40681,92.5339
NAFRA EAST,27.37033,92.54508
NAFRA WEST,27.37216,92.54491
NAKHU,27.40829,92.53886
UPPER DZONG,27.38014,92.55395
DINK-CHAMCHI-THINGBOW,27.20828,92.40471
JIGAON,27.18728,92.32949
JUMISINGBOW,27.19589,92.39892
JUNGPAM,27.21584,92.43422
LUMBAKTANG,27.18691,92.36115
MUKUTHING,27.20418,92.29059
PROWDING-THIKONG,27.20567,92.40084
ROWTA,26.96114,92.22577
SHERGAON,27.12663,92.26308
THUNGRI,27.16528,92.39497
BICHAOM,27.30975,92.59764
DAHUNG VILLAGE,27.22458,92.49201
DHIKIYANG,27.32154,92.45554
DITCHING,27.29015,92.51371
LUI VILLAGE,27.21444,92.49477
NAMFRI,27.24358,92.52854
NEW KASPI,27.20818,92.55432
RAMALINGAM,27.19929,92.47039
RUCHUNGPAM,27.19744,92.4735
SINGCHUNG,27.20011,92.47459
TENGA VALLEY,27.20347,92.49427
TENGA VILLAGE,27.20709,92.46978
TENGAMARKET,27.21117,92.46869
TSERINGPAM,27.19736,92.48956
WANGHOO,27.24203,92.42041
DARBU,27.31227,92.37075
KHALIBOK,27.3896,92.29876
MANDAL-PHUDUNG,27.2295,92.24208
NAMCHU,27.35705,92.32292
PANGMA,27.38509,92.37279
RAHUNG,27.31315,92.39446
SALARI-KHOITAM,27.32891,92.43778
THEMBANG,27.34221,92.3858
KARANGANIA,27.29897,92.70898
KAYA VALLEY,27.35701,92.80309
PALIZI,27.29334,92.77755
SAKRINE,27.35153,92.72561
SUBU,27.31379,92.76699
THESSA,27.31138,92.6837
THRIZINO,27.34068,92.73875
BERU,28.21513,94.83853
DEGO,28.17153,94.81077
EYI,28.19341,94.85752
LOGUM JINI(LOWER),28.21902,94.85649
LOGUM JINI(UPPER),28.21837,94.85495
PAKAM-I,28.1503,94.81265
PAKAM-II,28.15217,94.80692
PANYA-BOGDO,28.17738,94.81916
YEGGO-YOJI-YORA,28.13736,94.80377
BEYE,28.02258,94.8226
DOJI-JELLY,28.07292,94.80437
JIRDIN,28.1444,94.83223
KOMBO-PAPAK,28.12002,94.83372
KOMBO-POMTE,28.12265,94.83582
NGOMDIR-I,28.05826,94.82824
NGOMDIR-II,28.06095,94.82598
PUSHI DOKE,28.05087,94.7113
RAGLAM,28.12835,94.83316
TADIN-I,28.0802,94.8449
TADIN-II,28.07928,94.84154
TARSU-MOBUK-I,28.11723,94.84547
TARSU-MOBUK-II,28.11602,94.83996
BENE,28.1992,94.7165
DARKA -I,28.12962,94.78278
DARKA -II,28.12848,94.78728
GUNE BANE,28.19297,94.74073
KABU-I,28.18945,94.76667
KABU-II,28.19207,94.76493
KUGI POMSE,28.17943,94.72528
KUGI POMTE,28.18438,94.72605
PAYA,28.20075,94.73513
POBDI,28.19137,94.74458
RIGO-KAMDI,28.15957,94.78662
WAK,28.19408,94.70345
ANGU-I,28.06137,94.7464
ANGU-II,28.06216,94.74329
DOJI JEKO,28.08622,94.79347
HIGI-BAGRA,28.0765,94.76019
JEYI BAGRA,28.08669,94.72953
LIPU BAGRA-I,28.09344,94.74567
LIPU BAGRA-II,28.09269,94.74525
PIGI MENGO,28.08833,94.74175
TAKPU BAGRA,28.0845,94.77569
DASI,28.14987,94.66002
NIKTE,28.1529,94.67819
NYORAK RAKTE,28.1111,94.68936
PUSHI NYORAK,28.08374,94.68439
RIME/PIDI RIME,28.11469,94.6517
TABA SORA,28.13247,94.65521
YIGI-KAUM-I,28.15457,94.71884
YIGI-KAUM-II,28.15069,94.71726
BAM-I,28.03108,94.68023
BAM-II,28.03188,94.6787
CHIKU/LIPU/NOMRI,28.00355,94.74528
DISI,27.94536,94.74405
GALU/SIBE,27.9642,94.66229
GORI-I,27.98861,94.69738
GORI-II,27.99174,94.6991
GORI-III,27.99378,94.70127
KADI/EGO-YAMIN/CHIRENA,27.99471,94.68469
NYIGAM-I,27.97249,94.68479
NYIGAM-II,27.96701,94.68402
NYODU,27.98134,94.66564
OLD BAM,28.02454,94.67984
PAGI-I,27.96148,94.71751
