FPOI BLOCk,LAT,LONG
NELAKONDAPALLY,17.142436,79.999785
NELAKONDAPALLY,17.148257,79.992153
PALWANCHA,17.600865,80.703120
PALWANCHA,17.602013,80.729083
PALWANCHA,17.603804,80.789368
PALWANCHA,17.605727,80.751148
PALWANCHA,17.605751,80.746501
PALWANCHA,17.632575,80.716386
PALWANCHA,17.633463,80.717429
PALWANCHA,17.642176,80.677370
PALWANCHA,17.682576,80.671374
PALWANCHA,17.777762,80.675622
PENUBALLY,17.207141,80.659930
PENUBALLY,17.208372,80.675365
PENUBALLY,17.163700,80.653020
PENUBALLY,17.151223,80.684336
PENUBALLY,17.157366,80.671322
PENUBALLY,17.158842,80.672653
PENUBALLY,17.162583,80.652690
PENUBALLY,17.195699,80.651585
PENUBALLY,17.199721,80.623733
PENUBALLY,17.201970,80.726383
PENUBALLY,17.205715,80.712194
PENUBALLY,17.206094,80.661746
PENUBALLY,17.208133,80.673420
PENUBALLY,17.219616,80.668765
PENUBALLY,17.220990,80.626238
PENUBALLY,17.233333,80.676181
PENUBALLY,17.239117,80.620378
PENUBALLY,17.255498,80.679458
PENUBALLY,17.301397,80.693256
PINAPAKA,18.026494,80.707291
PINAPAKA,18.019681,80.591829
PINAPAKA,18.020425,80.590610
PINAPAKA,18.024309,80.689753
PINAPAKA,18.033386,80.717041
PINAPAKA,18.035841,80.578164
PINAPAKA,18.036912,80.578924
PINAPAKA,18.039844,80.710635
PINAPAKA,18.042037,80.731067
PINAPAKA,18.042588,80.514282
PINAPAKA,18.043961,80.492632
PINAPAKA,18.065020,80.471344
PINAPAKA,18.078108,80.692142
PINAPAKA,18.079460,80.691280
PINAPAKA,18.080396,80.716336
PINAPAKA,18.094124,80.687700
SATHUPALLY,17.210173,80.893571
SATHUPALLY,17.134262,80.857045
SATHUPALLY,17.176102,80.873840
SATHUPALLY,17.176786,80.836409
SATHUPALLY,17.177761,80.876894
SATHUPALLY,17.186238,80.805696
SATHUPALLY,17.197329,80.887395
SATHUPALLY,17.199700,80.897800
SATHUPALLY,17.205066,80.846296
SATHUPALLY,17.207111,80.776820
SATHUPALLY,17.211425,80.894141
SATHUPALLY,17.212837,80.829510
SATHUPALLY,17.225979,80.882600
SATHUPALLY,17.233658,80.883560
SATHUPALLY,17.256956,80.775749
SATHUPALLY,17.324297,80.783351
SINGARENI,17.462769,80.204854
SINGARENI,17.467254,80.397579
SINGARENI,17.467965,80.272408
SINGARENI,17.480409,80.231898
SINGARENI,17.487572,80.308891
SINGARENI,17.490327,80.417219
SINGARENI,17.490795,80.311922
SINGARENI,17.508814,80.270782
SINGARENI,17.510532,80.273516
SINGARENI,17.512943,80.317820
SINGARENI,17.524673,80.317741
SINGARENI,17.548176,80.320960
SINGARENI,17.550367,80.307154
TEKULAPALLY,17.551658,80.443550
TEKULAPALLY,17.557272,80.466560
TEKULAPALLY,17.559646,80.478056
TEKULAPALLY,17.560927,80.501162
TEKULAPALLY,17.563422,80.516339
TEKULAPALLY,17.570796,80.571425
TEKULAPALLY,17.577664,80.582895
TEKULAPALLY,17.578494,80.583039
TEKULAPALLY,17.597598,80.466939
TEKULAPALLY,17.658779,80.541656
TEKULAPALLY,17.673406,80.440182
THALLADA,17.216933,80.422684
THALLADA,17.116184,80.446677
THALLADA,17.125433,80.431685
THALLADA,17.141275,80.445780
THALLADA,17.142806,80.441800
THALLADA,17.169940,80.457983
THALLADA,17.183388,80.466813
THALLADA,17.193752,80.507580
THALLADA,17.197875,80.406264
THALLADA,17.200634,80.485270
THALLADA,17.201385,80.481741
THALLADA,17.205767,80.472215
