FPOI BLOCk,LAT,LONG,LAT1,LONG1
KAMEPALLY,17.422241,80.299049,17.43704,80.24313
KAMEPALLY,17.422623,80.231439,17.45881,80.24162
KAMEPALLY,17.449741,80.283053,17.42555,80.18381
KAMEPALLY,17.450605,80.286648,17.38788,80.25611
KAMEPALLY,17.453783,80.268135,17.45126,80.26353
KAMEPALLY,17.457274,80.297225,17.45727,80.29723
KHAMMAM,17.312799,80.234952,17.35933,80.22597
KHAMMAM,17.234389,80.234334,17.34933,80.20176
KHAMMAM,17.247488,80.151424,17.29337,80.24377
KHAMMAM,17.202569,80.222362,17.32604,80.27187
KHAMMAM,17.241381,80.224113,17.34796,80.18510
KHAMMAM,17.243673,80.214002,17.31698,80.18639
KHAMMAM,17.269285,80.236268,17.31202,80.23266
KHAMMAM,17.293368,80.243769,17.34992,80.21919
KHAMMAM,17.298483,80.197908,17.33704,80.30604
KHAMMAM,17.312015,80.232664,17.37784,80.18320
KHAMMAM,17.315829,80.186640,17.28977,80.20262
KHAMMAM,17.316983,80.186385,17.33749,80.26405
KHAMMAM,17.324723,80.207426,17.31526,80.18755
KHAMMAM,17.325529,80.259638,17.32230,80.20220
KHAMMAM,17.326035,80.271874,17.24755,80.22420
KHAMMAM,17.344239,80.185384,17.27344,80.22767
KONIJERLA,17.220446,80.293317,17.22188,80.24852
KONIJERLA,17.167380,80.293183,17.19907,80.25217
KONIJERLA,17.168949,80.255363,17.15999,80.32306
KONIJERLA,17.171226,80.295753,17.19593,80.32731
KONIJERLA,17.188903,80.298143,17.28321,80.25599
KONIJERLA,17.195594,80.252717,17.17048,80.26208
KONIJERLA,17.198019,80.323891,17.18890,80.29814
KONIJERLA,17.205422,80.334507,17.27926,80.36344
KONIJERLA,17.205731,80.290885,17.22251,80.35653
KONIJERLA,17.220040,80.293294,17.15106,80.26053
KONIJERLA,17.221807,80.250701,17.14864,80.30274
KONIJERLA,17.221816,80.293457,17.22182,80.29346
KONIJERLA,17.230979,80.259572,17.21757,80.32777
KONIJERLA,17.232503,80.337485,17.20573,80.29089
KONIJERLA,17.239580,80.259968,17.24261,80.32014
KONIJERLA,17.242609,80.320137,17.19802,80.32389
KONIJERLA,17.244156,80.345351,17.16967,80.29623
KONIJERLA,17.250862,80.350230,17.27657,80.30710
KONIJERLA,17.279058,80.363308,17.25932,80.33033
KOTHAGUDEM,17.528105,80.585931,17.51381,80.64307
KOTHAGUDEM,17.456863,80.670283,17.57766,80.58290
KOTHAGUDEM,17.480800,80.567983,17.75275,80.60180
KOTHAGUDEM,17.482137,80.658606,17.80388,80.62356
KOTHAGUDEM,17.482999,80.580477,17.55488,80.64375
KOTHAGUDEM,17.483657,80.572622,17.53545,80.61300
KOTHAGUDEM,17.483757,80.569729,17.50109,80.62115
KOTHAGUDEM,17.518599,80.637470,17.56069,80.59642
KOTHAGUDEM,17.521320,80.633538,17.56503,80.62715
KOTHAGUDEM,17.527695,80.586079,17.71121,80.61034
KOTHAGUDEM,17.533297,80.608054,17.52361,80.56466
KOTHAGUDEM,17.540789,80.625626,17.46073,80.67245
KOTHAGUDEM,17.565025,80.627148,17.53837,80.65410
KOTHAGUDEM,17.578093,80.634957,17.45905,80.58031
KOTHAGUDEM,17.582404,80.647431,17.62315,80.63615
KOTHAGUDEM,17.623335,80.634368,17.48388,80.65118
KOTHAGUDEM,17.709188,80.607963,17.52770,80.58608
KUSUMANCHI,17.148470,79.940577,17.17653,79.90459
KUSUMANCHI,17.156688,79.952000,17.25458,80.00409
KUSUMANCHI,17.158563,79.952118,17.27706,79.91891
KUSUMANCHI,17.171412,79.971275,17.15490,79.90967
KUSUMANCHI,17.174878,79.898415,17.27588,79.89854
KUSUMANCHI,17.182284,79.958668,17.20538,79.95832
KUSUMANCHI,17.195792,79.939156,17.18487,79.95715
KUSUMANCHI,17.197080,79.959333,17.16179,79.93700
KUSUMANCHI,17.198230,79.895048,17.20974,79.94304
KUSUMANCHI,17.202246,79.979142,17.13130,79.95671
KUSUMANCHI,17.206382,79.980656,17.23497,80.00868
KUSUMANCHI,17.209739,79.943036,17.19579,79.93916
KUSUMANCHI,17.211416,79.926539,17.25526,79.95385
KUSUMANCHI,17.216707,79.983647,17.20212,79.97939
KUSUMANCHI,17.222848,79.954152,17.23233,79.90760
KUSUMANCHI,17.225143,79.962450,17.22862,79.95438
KUSUMANCHI,17.228618,79.954376,17.21815,79.98706
KUSUMANCHI,17.230169,80.033381,17.18233,79.92671
KUSUMANCHI,17.234376,79.996768,17.16351,79.97180
KUSUMANCHI,17.238440,79.964225,17.20785,80.03217
KUSUMANCHI,17.253135,80.004056,17.26406,79.98987
KUSUMANCHI,17.254847,79.942902,17.19715,79.89188
KUSUMANCHI,17.255262,79.953847,17.25599,79.92478
KUSUMANCHI,17.255991,79.924777,17.20212,79.99677
KUSUMANCHI,17.272164,79.918407,17.20727,79.92271
MADHIRA,16.976588,80.436563,16.94169,80.31652
MADHIRA,16.965221,80.418307,16.94983,80.37327
MADHIRA,16.923319,80.365533,16.83615,80.38498
MADHIRA,16.920585,80.421557,16.88778,80.40093
MADHIRA,16.858871,80.390834,16.87888,80.33634
MADHIRA,16.867643,80.392818,16.93799,80.36479
MADHIRA,16.876478,80.332920,16.86781,80.37185
MADHIRA,16.877131,80.365238,17.05543,80.38398
MADHIRA,16.886466,80.401338,16.95456,80.38618
MADHIRA,16.887783,80.400930,16.86764,80.39282
