GP_NAME,LAT,LONG
LACHANNAGUDEM,17.0995,80.80264
LINGAPALEM,17.14766,80.79671
MARLAPADU,17.11275,80.79784
MODDULAGUDEM,17.11783,80.71091
PALLEVADA,17.17552,80.7399
RAMANNAPELEM,17.12463,80.67675
V.VENKATAPURAM,17.05953,80.80909
VEMSOOR,17.12962,80.79342
YERRAGUNTA,17.14143,80.78532
ALUBAKA,18.20548,80.66966
EDHIRA,18.13868,80.72923
MARIKALA,18.33034,80.50862
MORRAVARIGUDEM,18.23329,80.64177
PATHRAPURAM,18.28892,80.59033
SURAVEEDU,18.16839,80.69846
VEERABHADRAVARAM,18.26471,80.60538
VENKATAPURAM,18.29859,80.5541
BARLAGUDEM,18.36317,80.51954
CHERUKUR,18.48565,80.45009
CHINTOOR,18.47336,80.43334
EDJARLAPALLI,18.36718,80.48349
GUMMADIDODDI,18.46072,80.49358
KONGALA,18.43157,80.5082
KRISHNAPURAM,18.54426,80.42477
MURMUR,18.38667,80.52836
NAGARAM,18.44022,80.47956
PERURU,18.53197,80.39387
ASTNAGURTHY,17.09693,80.31852
DACHAPURAM,17.08555,80.39106
GANNAVARAM,17.0772,80.37362
GARIKAPADU,17.09987,80.39088
GOLLAPUDI,17.10006,80.34153
GOLLENAPADU,17.10777,80.31558
KHANAPURAM,17.10073,80.3634
KONDA KODIMA,17.12507,80.35895
LAKSHMIPURAM,17.15473,80.3807
LINGANNAPALEM,17.10972,80.40406
MUSALIMADUGU,17.1406,80.37867
NARAPANENIPALLI,17.13367,80.39245
PALADUGU,17.0772,80.32668
PUNYAPURAM,17.14105,80.41573
REBBAVARAM,17.11557,80.33786
SIRIPURAM(KG),17.16093,80.39956
SOMAVARAM,17.19384,80.35988
TATIPUDI,17.15277,80.34066
VALLAPURAM,17.07343,80.30806
VIPPALA MADAKA,17.12259,80.4044
CHALLA SAMUDRAM,17.56919,80.24546
KOMARARAM,17.71054,80.31883
MANIKYARAM,17.7112,80.28001
MARRIGUDEM,17.74843,80.39112
POLARAM,17.7248,80.34463
RAGHABOINAGUDEM,17.51826,80.36289
ROMPAID,17.64253,80.29805
SUDIMALLA,17.58502,80.35299
AYYAVARIGUDEM,16.92005,80.503
BANIGANDLAPADU,16.86394,80.4763
BANJARA,16.83761,80.50925
BHEEMAVARAM,16.93775,80.51049
BUCHI REDDY PALEM,16.87691,80.52677
CHOPPAKATLA PALEM,16.88237,80.47948
GOSAVEEDU,16.92884,80.48316
GUNTUPALLI GOPAVARAM,16.95701,80.53558
INAGALI,16.91335,80.47119
JAMALAPURAM,16.82976,80.51928
KACHARAM,16.89284,80.58633
KOTHAPALEM,16.77889,80.5159
MAMUNURU,16.896,80.48911
MEENAVOLU,16.8627,80.45408
MULUGUMADU,16.90725,80.45799
PEDDA GOPAVARAM,16.85057,80.47507
PEGALLAPADU,16.83738,80.45149
RAJUPALEM,16.84935,80.54895
REMIDICHERLA,16.80038,80.49655
SAKHINA VEEDU,16.8965,80.45803
THAKKELLA PADU,16.87914,80.45678
YERRUPALEM,16.82229,80.47289
ALOOR,18.80683,78.19517
AMDAPOOR,18.86425,78.26202
ANKAPOOR,18.76677,78.25619
CHEPOOR,18.80752,78.33202
DEGAON,18.84616,78.22471
FATHEPUR,18.84606,78.30072
GAGGUPALLY,18.80143,78.21955
GOVINDPET,18.76407,78.32947
ISSAPALLY,18.8013,78.23679
KHANAPUR,18.88439,78.27061
KOMANPALLY,18.88066,78.29121
MACHERLA,18.85833,78.20449
MAGGIDI,18.87225,78.26615
MAMIDIPALLY,18.77732,78.29782
MANTHANI,18.84699,78.25626
MIRDHAPALLY,18.8292,78.23173
PERKIT,18.79285,78.30784
PIPRI,18.83462,78.27694
RAMPOOR,18.8213,78.24126
SURBIRYAL,18.85763,78.29528
BALKONDA,18.87217,78.33377
BASWAPOOR,18.90321,78.33937
BODEPALLY,18.85928,78.36534
BUSSAPUR,18.94346,78.36724
CHAKIRYAL,18.98465,78.38952
CHITTAPUR,18.84294,78.33798
DOODGAON,18.98398,78.38142
ITHWARPET,18.87844,78.31965
JALALPUR,18.87905,78.30599
KISAN NAGAR,18.88735,78.34935
KODICHERLA,18.96852,78.4092
KOTHAPALLI,18.90804,78.37347
MENDORA,18.95096,78.40191
MUPKAL,18.90956,78.35674
NAGAMPET,18.91159,78.40251
NAGAPOOR,18.89997,78.32799
NALLOOR,18.92976,78.36429
RENJARLA,18.89298,78.41371
SAVEL,18.95566,78.42865
SOANPET,18.9584,78.36121
SRIRAMPOOR,18.8255,78.32275
VANNEL B,18.85813,78.38204
VELKATOOR,18.9251,78.43103
VEMPALLY,18.8943,78.35906
VENCHIRYAL,18.89722,78.43247
BANSWADA,18.37886,77.87706
BORLAM,18.38566,77.90073
BUDMI,18.33908,77.88585
CH.RAMPUR,18.42811,77.9076
HANMAJIPET,18.43581,78.00358
IBRAHIMPET,18.40372,77.85181
KOLLOOR,18.40245,77.91329
KONAPUR,18.40814,77.97694
POCHARAM,18.41204,77.90734
SANGOJIPET,18.41736,77.99338
SOMESHWAR,18.40523,77.88099
