GP_NAME,LAT,LONG
MUNDAKAYAM,9.53830,76.88592
PARATHODE,9.56710,76.81385
VELLAVOOR,9.49292,76.74387
BHARANANGANAM,9.70087,76.72820
KADANAD,9.77950,76.70163
KAROOR,9.73738,76.66975
KOZHUVANAL,9.65617,76.66333
MEENACHIL,9.68297,76.72232
MUTHOLY,9.69277,76.65715
MADAPPALLY,9.48125,76.59723
PAIPPAD,9.42632,76.56142
THRIKKODITHANAM,9.43827,76.56495
VAKATHANAM,9.52180,76.57267
VAZHAPPALLY,9.46057,76.55210
KURICHY,9.49512,76.52687
KARUKACHAL,9.50090,76.63653
KUMARAKOM,9.59248,76.43558
THIRUVARPU,9.58117,76.47785
PANACHIKKAD,9.52902,76.54128
PUTHUPPALLY,9.55513,76.57235
AYARKKUNNAM,9.63527,76.60513
VIJAYAPURAM,9.59143,76.56458
AKALAKUNNAM,9.62715,76.67353
KOOROPPADA,9.59707,76.64742
MANNARKADU,9.58802,76.58317
MEENADOM,9.54902,76.60708
PALLIKKATHODE,9.60193,76.68348
PAMPADY,9.57097,76.63932
ELIKULAM GP,9.60298,76.73178
KADAPLAMATTOM,9.71490,76.60888
KANAKKARI,9.71602,76.55897
KURAVILANGAD,9.75752,76.56053
MARANGATTUPILLY,9.74268,76.61192
RAMAPURAM,9.80245,76.66182
UZHAVOOR,9.79183,76.61067
VELIYANNOOR,9.82180,76.60843
KIDANGOOR,9.68468,76.61037
CHEMPU,9.81533,76.42365
MARAVANTHURUTHU,9.79388,76.41800
THALAYAZHAM,9.71538,76.41723
TV PURAM,9.71188,76.39213
UDAYANAPURAM,9.76572,76.41498
VECHOOR,9.67808,76.42080
CHIRAKKADAVU,9.56313,76.76205
KANGAZHA,9.50935,76.69237
NEDUMKUNNAM,9.50937,76.66597
VAZHOOR,9.56650,76.70672
PANANGAD,11.45503,75.84259
BALUSSERY,11.44757,75.82987
KOTTUR,11.49563,75.81622
NADUVANNUR,11.48572,75.77605
ULLIYERI,11.45057,75.77261
KOORACHUNDU,11.54018,75.84299
UNNIKULAM,11.44290,75.88058
ATHOLI,11.40222,75.76273
CHELANNUR,11.35693,75.80449
NANMINDA,11.42192,75.83141
NARIKKUNI,11.36720,75.86392
THALAKULATHUR,11.35310,75.75916
KAKKODI,11.31372,75.79839
KAKKUR,11.38642,75.82375
KODUVALLY,11.36144,75.91035
OMASSERY,11.36374,75.96454
THIRUVAMBADY,11.36372,76.01025
KOODARANJI,11.34817,76.03608
PUDUPPADI,11.48004,75.97432
THAMARASSERY,11.40963,75.93649
KATTIPPARA,11.48700,75.91338
KIZHAKKOTH,11.37229,75.88972
MADAVOOR,11.35540,75.86907
OLAVANNA,11.22854,75.83302
RAMANATTUKARA,11.17879,75.86984
FEROKE,11.17937,75.83293
KADALUNDI,11.15011,75.82648
PERUMANNA,11.23971,75.87884
KODENCHERY,11.43103,76.00676
