S.no,FPOI ,LAT,LONG,GPs connected,
328,KADUTHURUTHY,9.76520,76.49247,1,
329,KADUTHURUTHY,9.71373,76.47557,1,
330,KADUTHURUTHY,9.82767,76.49925,1,
331,KADUTHURUTHY,9.79017,76.52352,1,
332,KADUTHURUTHY,9.78675,76.45223,1,
333,KADUTHURUTHY,9.82845,76.45095,2,
334,KANJIRAPPALLY,9.48108,76.84618,1,
335,KANJIRAPPALLY,9.55450,76.79018,1,
336,KANJIRAPPALLY,9.58425,76.88312,1,
337,KANJIRAPPALLY,9.46810,76.96232,1,
338,KANJIRAPPALLY,9.48962,76.75312,1,
339,KANJIRAPPALLY,9.53770,76.88682,1,
340,KANJIRAPPALLY,9.56982,76.81540,2,
341,LALAM,9.70040,76.72803,1,
342,LALAM,9.76497,76.70303,1,
343,LALAM,9.72403,76.67908,1,
344,LALAM,9.65737,76.66348,1,
345,LALAM,9.68353,76.72208,1,
346,LALAM,9.69255,76.65760,1,
347,MADAPPALLY,9.48060,76.59700,1,
348,MADAPPALLY,9.42530,76.56260,1,
349,MADAPPALLY,9.44488,76.57367,1,
350,MADAPPALLY,9.51930,76.57050,1,
351,MADAPPALLY,9.45955,76.55370,3,
352,PALLOM,9.63262,76.60505,1,
353,PALLOM,9.49498,76.52767,1,
354,PALLOM,9.52955,76.53927,1,
355,PALLOM,9.55733,76.57217,1,
356,PAMPADY,9.62675,76.67370,1,
357,PAMPADY,9.59782,76.64675,1,
358,PAMPADY,9.58660,76.58352,1,
359,PAMPADY,9.54995,76.60868,1,
360,PAMPADY,9.60230,76.68317,1,
361,PAMPADY,9.56755,76.63937,4,
362,UZHAVOOR,9.71597,76.55927,1,
363,UZHAVOOR,9.75495,76.56150,1,
364,UZHAVOOR,9.74273,76.61148,1,
365,UZHAVOOR,9.79900,76.66450,1,
366,UZHAVOOR,9.79190,76.61065,1,
367,UZHAVOOR,9.82863,76.60705,1,
368,UZHAVOOR,9.68407,76.60652,2,
369,VAIKOM,9.72145,76.41622,1,
370,VAIKOM,9.70740,76.39170,1,
371,VAIKOM,9.76783,76.41680,1,
372,VAIKOM,9.68845,76.42012,1,
373,VAIKOM,9.82618,76.42902,2,
374,VAZHOOR,9.56405,76.75750,1,
375,VAZHOOR,9.50070,76.63735,1,
376,VAZHOOR,9.50792,76.66292,1,
